"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6049","logs in with valid Nafath credentials @regression @nafith-login","Google Chrome","2026-08-15","passed","2026-08-15","Nafath login","","",""
"","58381","Cash division - Bank Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","27451","Cash division is blocked when a heir is a minor @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Division blockers","","",""
"","29111","Ticket details step validates the التفاصيل field @crm","Google Chrome","2026-08-15","passed","2026-08-15","CRM complaints","","",""
"","22463","IBAN validation only checks shape, not that the account digits are numeric @profile","Google Chrome","2026-08-15","passed","2026-08-15","Profile - Bank account information","","",""
"","27790","Cash division is blocked when a heir is dead @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Division blockers","","",""
"","50834","Investment division - Transfer flow @smoke @division @investment-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","31502","Ticket details step validates the deceased ID and heir-enumeration deed number fields @crm","Google Chrome","2026-08-15","passed","2026-08-15","CRM complaints","","",""
"","59079","Cash division - Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","27212","Investment division is blocked when a heir is dead @division @investment-division","divisionsFlows","2026-08-15","passed","2026-08-15","Division blockers","","",""
"","60227","Applicant step validates the mobile number field @crm","Google Chrome","2026-08-15","broken","2026-08-15","CRM complaints","","",""
"","24214","apply division flow preconditions","division-preconditions","2026-08-15","passed","2026-08-15","","","",""
"","32667","Beneficiary submits a new support ticket via المساعدة @crm","Google Chrome","2026-08-15","passed","2026-08-15","CRM complaints","","",""
"","63539","Cash division - Bank Accounts @smoke @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","21839","Beneficiary views contact details and opens a branch location @crm","Google Chrome","2026-08-15","passed","2026-08-15","CRM Help Center - Contact us","","",""
"","19364","Heir logs in and views their profile @profile","Google Chrome","2026-08-15","passed","2026-08-15","Profile - Mobile number","","",""
"","70294","Cash division - Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","68401","Cash division - Bank And Investment Accounts @smoke @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","23101","Heir views and adds bank account information @profile","Google Chrome","2026-08-15","passed","2026-08-15","Profile - Bank account information","","",""
"","59841","Cash division - Bank And Investment Accounts - Tarika funds status failure for all deceased assets @division @cash-division","divisionsFlows","2026-08-15","passed","2026-08-15","Inheritance seeder","","",""
"","18573","FAQ content matches its visual baseline across search and expand states @crm","Google Chrome","2026-08-15","failed","2026-08-15","CRM Help Center - FAQ","","",""
"","27347","Investment division is blocked when a heir is a minor @division @investment-division","divisionsFlows","2026-08-15","passed","2026-08-15","Division blockers","","",""
